utt_id,speaker,reference,prediction,wer
C_001_0001_stove_NULL_AO,C_001,Kapcsold ki a hűtő ő villanytűzhelyt,kapcsolat kérhetőszer.,1.0
C_001_0010_heating_NULL_AO,C_001,Kapcsold be a rá radiátort,kaptam a radiátor.,0.8
C_001_0001_computer_NULL_AO_2,C_001,Kikapcsoltad a monitort,Meghagyott a monétort.,0.6666666666666666
C_001_0100_shutter_kitchen_AOL,C_001,Ereszd le a zsala zsalut a konyhába,Elezni a sorota konyhával.,0.8571428571428571
C_002_0010_window_smallroom_AOL,C_002,Zárjuk be az ablakot a kisszobába,"Tánadj, hogy az ablakot akisszöbb, abban.",0.6666666666666666
C_002_0001_vacuum_room_LAO,C_002,Szobába kapcsoljuk ki a porszívót,szobába kapcsoljuk ki a poszívú.,0.4
C_002_0100_TV_NULL_AO,C_002,Vegyük halkabbra a televíziót,Vagy a kockabban a televízió.,1.0
C_002_0001_door_smallroom_LAO,C_002,Kisszobába nyissuk ki az ajtót,"Piszóbábban is oké, az ajtót.",0.8
C_002_0010_fan_smallroom_AOL,C_002,Kapcsoljuk be a ventilátorokat a kisszobába,"Kapcsolj, hogy bármint előtt előtt a katakisszobában.",1.0
C_002_0001_vacuum_smallroom_LAO,C_002,Kisszobába kapcsoljuk ki a porszívót,És szubályban kapcsoljuk ki a porcívolta.,0.6
C_002_0010_heating_corridor_LXAO,C_002,A folyosón hideg a radiátor ezért be kell kapcsolni a termosztátot,Folyosan ideg a radiátor ezért be kell kapcsolni a termosztátok.,0.36363636363636365
C_002_1000_electricity_kitchen_LAO,C_002,Konyhába kapcsoljuk fel a villanyt,"Kújnál, bakokcsa, jövő, lájtál.",1.0
C_002_0001_window_NULL_XAO,C_002,Jó idő van nyissuk ki az ablakokat,"Jó ide, van is uki ez a blapokat.",0.8571428571428571
C_002_0001_window_smallroom_AOL,C_002,Nyissuk ki az ablakot a kisszobába,Nincs sikérze a bladot a kis szobállat.,1.0
C_002_0010_door_livingroom_LAO,C_002,Nagyszobába csukjuk be az ajtót,Nagyszerűen bocsuk így be az ajtót.,0.8
C_003_0001_fan_kitchen_AOL,C_003,Kapcsold ki a ventilátort a konyhába,Kapszol ki a vendjára zakonyával.,0.6666666666666666
C_003_0010_fan_livingroom_AOL,C_003,Kapcsold be a ventilátort a nagyszobába,"kapcsolában, játszolta, na szóval.",1.0
C_003_0001_window_bathroom_LAO,C_003,Fürdőszobába nyisd ki az ablakot,"Pületes, zavarni is ki a zavarod.",1.0
C_003_0010_radio_smallroom_LAO,C_003,Kisszobába kapcsold be a rádiót,"ki szóval kapcsolva rá, adjós!",1.0
C_003_0001_fan_smallroom_AOL,C_003,Kapcsold ki a ventilátort a kisszobába,"kapszol ki, vajn tjázott a kis szvávon.",1.0
C_003_0001_radio_kitchen_OAL,C_003,A rádiót kapcsold ki a konyhán,"Hát, de az kapszol ki a kolyhára.",0.8333333333333334
C_003_0010_curtain_room_LAO,C_003,Szobába húzd be a függönyt,"Szóval, van húzbár függent.",1.0
C_003_0010_vacuum_room_AOXL,C_003,Kapcsold be a porszívót légyszi a szobába,Kácsolva fosztilod és jössz el a szóval.,0.8571428571428571
C_003_0010_door_room_LAO,C_003,A szobába zárd be az ajtót,A szóval várzáll be az ajzó.,0.5
C_003_0001_washingmachine_NULL_AO,C_003,A mosógépet indítsd el és állítsd be a harminc fok melegre,"Amúgy szó, hogy pedint is, ne isáj az el, hami szófája.",1.0
C_003_0010_curtain_kitchen_LAO,C_003,Konyhába húzd be a függönyt,Konyháva húzbál fűgőn.,1.0
C_003_0001_door_smallroom_AOL,C_003,Nyisd ki a ajtót a kisszobába,"Niske, ájt oda kis szó!",1.0
C_003_0010_radio_room_LAO,C_003,A szobába kapcsold be a rádiót,Szóval a bárkápp szó be a rádióz.,0.8333333333333334
C_003_0010_heating_corridor_AXOL,C_003,Kapcsold be légy szíves a termosztátot a folyosón,"Kapszolva, ezt járszámul, szállaforosok.",1.0
C_004_0001_door_smallroom_LAO,C_004,Kisszoba nyit ajtom,Fiszt szóba nyik adom.,1.3333333333333333
C_004_0100_electricity_room_LAO,C_004,Szoban le lekapcsolol lámpam,"Szóban legy, legy, kocsolol lámban.",1.25
C_004_1111_NULL_kitchen_LA,C_004,Konyha csatornat válni,"Konyhok, csótórát, várnél.",1.0
C_004_0001_vacuum_kitchen_OAL,C_004,Porszívót ki konyha,Porszívot ki konyám!,0.6666666666666666
C_004_0010_window_smallroom_LAO,C_004,Kisszoba bezárni a nap ablakokat,"Kis szopa, te szárél ha nap a blokótat.",1.4
