text_id,text
T0000,Később azonban a páciens állapota valamivel jobbra fordult
T0001,Érdekes vetületekre derülhet fény
T0002,Cserelapként az első természetes lap lesz felütve
T0003,"Így van pénze fogorvosra, robotporszívóra stb"
T0004,"Ma nem megyünk sehova, tegnap bevásároltunk"
T0005,"A horgonyokat, ha azokat nem haszn"
T0006,"Édes magam, ne hagyd magad"
T0007,"Írok, ha elindulok"
T0008,Valamivel később pedig kikölcsönözte és elolvasta Sidney Luxton Loney trigonometriakönyvét
T0009,"Remélem, nem fagyoskodtok"
T0010,A lineáris algebra a lineáris egyenletrendszerek elméletéből fejlődött ki
T0011,Alant felsorolom az osztálytársak neveit
T0012,"Ricardo ezt képtelen elfogadni, és öngyilkos lesz emiatt"
T0013,Nincs ehhez kicsit korán
T0014,Összesen hatszázötven függvényt állított elő ezen a területen
T0015,"Oké, csörögj rám"
T0016,Péntektől érvényes a katalógus
T0017,"Csak este tudtak hazahozni, amikor a többi vendég hazament"
T0018,Nekem is az a tippem
T0019,"Gondolkodtam, hogy két lapot küldök a késedelem miatt"
T0020,Azonban félórás vizsgálat után sem jutott eszébe jó megoldás
T0021,Az elméleti és alkalmazott matematika elemi eredményeinek áttekintése
T0022,Ne törd a fejed rajta
T0023,"Megszűnt a miniszterelnöki intézmény, az államfő jogkörei jelentősen bővültek"
T0024,Sok puszit küldök szeretettel
T0025,A kormányhatározat szerint a leépítéseket differenciáltan hajtják végre
T0026,Legalább háromszor találkoztak
T0027,Ennyit tudtam még javítani rajtuk
T0028,Ebül szerzett jószág ebül vész el
T0029,"Szerencsére van, aki értékeli"
T0030,"Igen, ez is jó"
T0031,"A késeket rendszeresen fenni kell, hogy mindig élesek legyenek"
T0032,Nagyon szépen köszönöm
T0033,Az európai felfogás az alábbi egységekre tagolja az országot
T0034,Leif Pandurót a legjelentősebb dán írók között tartják számon
T0035,"Gondolom, töltő is kéne hozzájuk"
T0036,"Egyszerű számolás mutatja, hogy minden kettőhatvány majdnem tökéletes"
T0037,Kedvelem a mediterrán ételeket
T0038,Az nem az én szobabiciklim
T0039,Az ösztöndíj felszabadította a kikötőben végzett munka alól
T0040,Kicsit később meglátom
T0041,A permanganátok a permangánsav sói
T0042,Meséit azonban mégsem lehet egyszerűen fordításoknak tekinteni
T0043,Ilyen elő szokott fordulni egy háztartásban
T0044,Willamet teljesen leköti a munkája
T0045,Mérete a lehullott csapadék mennyiségétől függően változik
T0046,"Puhák a párnák, de nehezek az ágyak"
T0047,A város kórházát elárasztották a sebesült katonák
T0048,"Azért az egér, gondolom, működik"
T0049,Nagy hatással volt az életére
T0050,"Nyitott probléma, hogy létezik-e akár egyetlen kvázitökéletes szám is"
T0051,"Nemcsak személyes kapcsolataiban, munkájában is érzelmi analfabéta"
T0052,Én utolsó szeretnék lenni
T0053,Pályafutását hátralévő részét Sevillában töltötte
T0054,"A becsület ma már nem divat, de még mindig népszerű"
T0055,Jelenleg az orosz Katyusa-ben versenyez
T0056,Sokat fejlődik a technika
T0057,Pyrénées-Orientales megyében található
T0058,Claire Foy két idősebb testvére van
T0059,Szerepel a Sárga Császárról és a ról szóló legendákban is
T0060,Ez egy Edgar Rice Burroughs paródia volt
T0061,A középkorban Gotland már fontos kereskedelmi központtá volt
T0062,A községi önkormányzat egyetlen település és katasztrális község tartozik
T0063,Emlékezés Török Pálra sat
T0064,Tajpejben és ban forgatták
T0065,Az első két éjszaka semmi sem történt
T0066,A Club América játékosa volt
T0067,Lucijára és Sv
T0068,Emiatt fordult Moroder végül is Debbie Harryhez
T0069,Kendall először az E
T0070,Az utómunkálatokban részt vett Jay Cassidy és Evan Schiff is
T0071,A leelo a szetuk identitásának az alapját képezi
T0072,Legyen szép a napod
T0073,Luxemburg a Hagenbach-Bischoff módszert használja az Európa Parlamenti választásainál
T0074,Ugyanekkor épültek az első villák a későbbi Noa-negyed területén
T0075,Felszálló halmazrendszert alkotnak a természetes számok végtelen részhalmazai is
T0076,Három hónappal később önkezével vetett életének
T0077,Rózsa Sándor és a vállon lőtt Imre elmenekültek
T0078,A szobor feltehetőleg papi ruházatban és süveggel ábrázolta a szentet
T0079,A természetes élőhelye a mérsékelt övi erdők
T0080,A stabilizációt ion motorok biztosították
T0081,Irányítása a lánctalpak fékezésével történt
T0082,Montoyát a bokszutca piros lámpa alatti elhagyása miatti diszkvalifikálták
T0083,Költeményeit arab és román nyelvre is lefordították
T0084,Története során a város végig megtartotta nevét
T0085,Tagja volt Bassár el-Aszad elnök belső körének
T0086,Tizenegy testvére közül csak öt lánytestvére érte meg a felnőttkort
T0087,Ugyanezen a helyen már többször is fellépett az együttes
T0088,Fő törekvése Flandria önállóságának kivívása volt
T0089,A csatornán keresztül menekülnek
T0090,A más egyetemről kapott meghívásokat pozíciójának erősítésére használta fel
T0091,A karaktert Ken Leung alakítja
T0092,Retrospektív Van Gogh-nak
T0093,Polgári családból származik
T0094,Ezt követően a Dorogi Bányász játékosa lett
T0095,A film többnyire pozitív értékeléseket kapott a kritikusoktól
T0096,A pingvin fehér-fekete színezete az álcázást szolgálja a vízben
T0097,A legelső grófokról kortárs írásos feljegyzés nem maradt fenn
T0098,Európa és Ázsia bükkös és gyertyános tölgyeseiben fordul elő
T0099,Játékát szerva-röptézés jellemzi
T0100,Seoul International Drama Awards legjobb betétdalnak járó díját
T0101,Az egészségügyi alapellátást a háziorvosi szolgálat biztosítja
T0102,Tanulmányait Pozsonyban és Pesten végezte
T0103,Tulajdonképpen az Égi királyság folytatása
T0104,Egy országból legfeljebb négy játékos indulhatott el
T0105,Hogy néz ez ki
T0106,Tehát a forgatónyomaték csak a külső eredő erővel arányos mennyiség
T0107,Két feleségétől összesen négy gyermeke született
T0108,A melegebb tengereket kedvelik
T0109,Néha frissen is árusítják
T0110,Később ez a hely vált a japán tendai buddhizmus központjává
T0111,Adását követően csökken a perifériás artériás ellenállás és a vérnyomás
T0112,A Baranya megyei eszperantó mozgalom egyik vezető egyénisége
T0113,Legnépesebb települése Pécs
T0114,Kreatív írás kurzuson kijelölték egy darab megírására
